,exp,x,Q2,obs,target,lepton beam,current,units,value,dstat_u,dsys,%dVX_c,%dSM_c,%dRC_c,%dE_c,%dEp_c,%*norm_c
27,nmc,0.008,1.12,sig,d/p,mu_minus,nc,1,0.9642,0.0088,0.0054,0.2,0.0,0.5,0.0,0.0,0.25
28,nmc,0.008,1.37,sig,d/p,mu_minus,nc,1,0.9714,0.01,0.0045,0.2,0.0,0.4,0.0,0.0,0.25
29,nmc,0.008,1.75,sig,d/p,mu_minus,nc,1,0.9891,0.0083,0.002,0.1,0.0,0.2,0.0,0.0,0.25
30,nmc,0.008,2.24,sig,d/p,mu_minus,nc,1,0.975,0.0086,0.0023,0.1,0.0,0.2,0.0,0.0,0.25
31,nmc,0.008,2.73,sig,d/p,mu_minus,nc,1,0.9837,0.0097,0.0042,0.2,0.0,0.4,0.0,0.0,0.25
32,nmc,0.008,3.46,sig,d/p,mu_minus,nc,1,0.9924,0.0122,0.0084,0.3,0.0,0.8,0.0,0.0,0.25
33,nmc,0.0125,0.16,sig,d/p,mu_minus,nc,1,0.9683,0.0543,0.0065,0.2,-0.6,0.2,0.0,0.0,0.25
34,nmc,0.0125,0.26,sig,d/p,mu_minus,nc,1,1.008,0.032,0.0034,0.2,-0.2,0.2,0.0,0.0,0.25
35,nmc,0.0125,0.35,sig,d/p,mu_minus,nc,1,0.953,0.0233,0.0026,0.2,-0.1,0.2,0.0,0.0,0.25
36,nmc,0.0125,0.45,sig,d/p,mu_minus,nc,1,0.969,0.0205,0.0022,0.2,0.0,0.2,0.0,0.0,0.25
37,nmc,0.0125,0.62,sig,d/p,mu_minus,nc,1,0.9872,0.0127,0.0023,0.2,0.1,0.1,0.0,0.0,0.25
38,nmc,0.0125,0.88,sig,d/p,mu_minus,nc,1,0.968,0.0108,0.0025,0.2,0.0,0.1,0.0,0.0,0.25
39,nmc,0.0125,1.12,sig,d/p,mu_minus,nc,1,0.9624,0.0092,0.0035,0.2,0.0,0.3,0.0,0.0,0.25
40,nmc,0.0125,1.37,sig,d/p,mu_minus,nc,1,0.9797,0.0098,0.0035,0.2,0.0,0.3,0.0,0.0,0.25
41,nmc,0.0125,1.74,sig,d/p,mu_minus,nc,1,0.9747,0.0072,0.003,0.2,0.0,0.2,0.0,0.0,0.25
42,nmc,0.0125,2.23,sig,d/p,mu_minus,nc,1,0.9738,0.0085,0.0041,0.2,0.0,0.4,0.0,0.0,0.25
43,nmc,0.0125,2.74,sig,d/p,mu_minus,nc,1,0.9813,0.0103,0.0016,0.1,0.0,0.1,0.0,0.0,0.25
44,nmc,0.0125,3.46,sig,d/p,mu_minus,nc,1,0.9844,0.0087,0.0022,0.1,0.0,0.2,0.0,0.0,0.25
45,nmc,0.0125,4.47,sig,d/p,mu_minus,nc,1,0.9734,0.0095,0.0043,0.2,0.0,0.4,0.0,0.0,0.25
46,nmc,0.0125,5.41,sig,d/p,mu_minus,nc,1,0.9821,0.0134,0.0058,0.1,0.0,0.6,0.0,0.0,0.25
47,nmc,0.0175,0.25,sig,d/p,mu_minus,nc,1,0.9573,0.0402,0.0064,0.2,-0.6,0.2,0.0,0.0,0.25
48,nmc,0.0175,0.35,sig,d/p,mu_minus,nc,1,0.9747,0.0301,0.0033,0.2,-0.2,0.2,0.0,0.0,0.25
49,nmc,0.0175,0.45,sig,d/p,mu_minus,nc,1,1.007,0.0268,0.0028,0.2,-0.1,0.2,-0.1,-0.1,0.25
50,nmc,0.0175,0.62,sig,d/p,mu_minus,nc,1,0.9939,0.0161,0.0025,0.2,0.1,0.1,0.0,0.0,0.25
51,nmc,0.0175,0.88,sig,d/p,mu_minus,nc,1,0.9645,0.0155,0.0021,0.2,0.0,0.1,0.0,0.0,0.25
52,nmc,0.0175,1.12,sig,d/p,mu_minus,nc,1,0.9685,0.0129,0.0026,0.2,0.0,0.1,0.0,0.0,0.25
53,nmc,0.0175,1.37,sig,d/p,mu_minus,nc,1,0.9834,0.0119,0.0026,0.2,0.0,0.1,0.0,0.0,0.25
54,nmc,0.0175,1.75,sig,d/p,mu_minus,nc,1,0.9925,0.0084,0.0025,0.2,0.0,0.2,0.0,0.0,0.25
55,nmc,0.0175,2.24,sig,d/p,mu_minus,nc,1,0.9763,0.0087,0.0022,0.2,0.0,0.1,0.0,0.0,0.25
56,nmc,0.0175,2.73,sig,d/p,mu_minus,nc,1,0.968,0.0098,0.002,0.1,0.0,0.1,0.0,0.0,0.25
57,nmc,0.0175,3.48,sig,d/p,mu_minus,nc,1,0.9761,0.0092,0.0018,0.2,0.0,0.1,0.0,0.0,0.25
58,nmc,0.0175,4.47,sig,d/p,mu_minus,nc,1,0.9716,0.01,0.0028,0.1,0.0,0.3,0.0,0.0,0.25
59,nmc,0.0175,5.49,sig,d/p,mu_minus,nc,1,0.9817,0.0143,0.0027,0.2,0.0,0.2,0.0,0.0,0.25
60,nmc,0.0175,6.83,sig,d/p,mu_minus,nc,1,0.9942,0.0107,0.004,0.1,0.0,0.4,0.0,0.0,0.25
61,nmc,0.025,0.26,sig,d/p,mu_minus,nc,1,0.9493,0.0375,0.0063,0.2,-0.6,0.1,0.0,0.0,0.25
62,nmc,0.025,0.35,sig,d/p,mu_minus,nc,1,0.9601,0.0287,0.0064,0.2,-0.6,0.2,0.0,0.0,0.25
63,nmc,0.025,0.45,sig,d/p,mu_minus,nc,1,0.9408,0.0313,0.0037,0.2,-0.3,0.2,0.0,0.0,0.25
64,nmc,0.025,0.62,sig,d/p,mu_minus,nc,1,0.962,0.0131,0.0022,0.2,-0.1,0.1,0.0,0.0,0.25
65,nmc,0.025,0.86,sig,d/p,mu_minus,nc,1,0.9585,0.0154,0.002,0.2,0.0,0.1,0.0,0.0,0.25
